Number of Execution of the reference run per location and per task 
With the aggregation by task for each location, and the total of the execution ref
IndexLoc   IndexTask  #ExecRef  
133        4          0         
133        5          0         
133        6          0         
133        7          0         
133        8          0         
133        9          0         
133        TotalExcRef 0         
134        0          0         
134        1          0         
134        2          0         
134        3          0         
134        4          0         
134        5          0         
134        6          0         
134        7          0         
134        8          0         
134        9          0         
134        TotalExcRef 0         
135        0          0         
135        1          0         
135        2          0         
135        3          0         
135        4          0         
135        5          0         
135        6          0         
135        7          0         
135        8          0         
135        9          0         
135        TotalExcRef 0         
136        0          0         
136        1          0         
136        2          0         
136        3          0         
136        4          0         
136        5          0         
136        6          0         
136        7          0         
136        8          0         
136        9          0         
136        TotalExcRef 0         
137        0          0         
137        1          0         
137        2          0         
137        3          0         
137        4          0         
137        5          0         
137        6          0         
137        7          0         
137        8          0         
137        9          0         
137        TotalExcRef 0         
138        0          0         
138        1          0         
138        2          0         
138        3          0         
138        4          0         
138        5          0         
138        6          0         
138        7          0         
138        8          0         
138        9          0         
138        TotalExcRef 0         
139        0          0         
139        1          0         
139        2          0         
139        3          0         
139        4          0         
139        5          0         
139        6          0         
139        7          0         
139        8          0         
139        9          0         
139        TotalExcRef 0         
140        0          0         
140        1          0         
140        2          0         
140        3          0         
140        4          0         
140        5          0         
140        6          0         
140        7          0         
140        8          0         
140        9          0         
140        TotalExcRef 0         
141        0          0         
141        1          0         
141        2          0         
141        3          0         
141        4          0         
141        5          0         
141        6          0         
141        7          0         
141        8          0         
141        9          0         
141        TotalExcRef 0         
142        0          0         
142        1          0         
142        2          0         
142        3          0         
142        4          0         
142        5          0         
142        6          0         
142        7          0         
142        8          0         
142        9          0         
142        TotalExcRef 0         
144        0          0         
144        1          0         
144        2          0         
144        3          0         
144        4          0         
144        5          0         
144        6          0         
144        7          0         
144        8          0         
144        9          0         
144        TotalExcRef 0         
145        0          0         
145        1          0         
145        2          0         
145        3          0         
145        4          0         
145        5          0         
145        6          0         
145        7          0         
145        8          0         
145        9          0         
145        TotalExcRef 0         
151        0          0         
151        1          0         
151        2          0         
