contains the data for build a graph for analysis.
Exploration Plus Magnitude
magnitude value : 1 5 10 20 50 75 100 
123 perturbation point
PM : Numerical Perturbator
1 files of 100 chararacters
Random characters generated with 23 as seed
Magnitude   IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
10          51         0          0          0          0          0              NaN                        
20          51         0          0          0          0          0              NaN                        
50          51         0          0          0          0          0              NaN                        
75          51         0          0          0          0          0              NaN                        
100         51         0          0          0          0          0              NaN                        
1           52         0          0          0          0          0              NaN                        
5           52         0          0          0          0          0              NaN                        
10          52         0          0          0          0          0              NaN                        
20          52         0          0          0          0          0              NaN                        
50          52         0          0          0          0          0              NaN                        
75          52         0          0          0          0          0              NaN                        
100         52         0          0          0          0          0              NaN                        
1           53         0          0          0          0          0              NaN                        
5           53         0          0          0          0          0              NaN                        
10          53         0          0          0          0          0              NaN                        
20          53         0          0          0          0          0              NaN                        
50          53         0          0          0          0          0              NaN                        
75          53         0          0          0          0          0              NaN                        
100         53         0          0          0          0          0              NaN                        
1           55         0          0          0          0          0              NaN                        
5           55         0          0          0          0          0              NaN                        
10          55         0          0          0          0          0              NaN                        
20          55         0          0          0          0          0              NaN                        
50          55         0          0          0          0          0              NaN                        
75          55         0          0          0          0          0              NaN                        
100         55         0          0          0          0          0              NaN                        
1           56         0          0          0          0          0              NaN                        
5           56         0          0          0          0          0              NaN                        
10          56         0          0          0          0          0              NaN                        
20          56         0          0          0          0          0              NaN                        
50          56         0          0          0          0          0              NaN                        
75          56         0          0          0          0          0              NaN                        
100         56         0          0          0          0          0              NaN                        
1           57         0          0          0          0          0              NaN                        
5           57         0          0          0          0          0              NaN                        
10          57         0          0          0          0          0              NaN                        
20          57         0          0          0          0          0              NaN                        
50          57         0          0          0          0          0              NaN                        
75          57         0          0          0          0          0              NaN                        
100         57         0          0          0          0          0              NaN                        
1           58         0          0          0          0          0              NaN                        
5           58         0          0          0          0          0              NaN                        
10          58         0          0          0          0          0              NaN                        
20          58         0          0          0          0          0              NaN                        
50          58         0          0          0          0          0              NaN                        
75          58         0          0          0          0          0              NaN                        
100         58         0          0          0          0          0              NaN                        
1           60         0          0          0          0          0              NaN                        
5           60         0          0          0          0          0              NaN                        
10          60         0          0          0          0          0              NaN                        
20          60         0          0          0          0          0              NaN                        
50          60         0          0          0          0          0              NaN                        
75          60         0          0          0          0          0              NaN                        
100         60         0          0          0          0          0              NaN                        
1           61         0          0          0          0          0              NaN                        
5           61         0          0          0          0          0              NaN                        
10          61         0          0          0          0          0              NaN                        
20          61         0          0          0          0          0              NaN                        
50          61         0          0          0          0          0              NaN                        
75          61         0          0          0          0          0              NaN                        
100         61         0          0          0          0          0              NaN                        
1           62         0          0          0          0          0              NaN                        
5           62         0          0          0          0          0              NaN                        
10          62         0          0          0          0          0              NaN                        
20          62         0          0          0          0          0              NaN                        
50          62         0          0          0          0          0              NaN                        
75          62         0          0          0          0          0              NaN                        
100         62         0          0          0          0          0              NaN                        
1           63         0          0          0          0          0              NaN                        
5           63         0          0          0          0          0              NaN                        
10          63         0          0          0          0          0              NaN                        
20          63         0          0          0          0          0              NaN                        
50          63         0          0          0          0          0              NaN                        
75          63         0          0          0          0          0              NaN                        
100         63         0          0          0          0          0              NaN                        
1           65         0          0          0          0          0              NaN                        
5           65         0          0          0          0          0              NaN                        
10          65         0          0          0          0          0              NaN                        
20          65         0          0          0          0          0              NaN                        
50          65         0          0          0          0          0              NaN                        
75          65         0          0          0          0          0              NaN                        
100         65         0          0          0          0          0              NaN                        
1           66         0          0          0          0          0              NaN                        
5           66         0          0          0          0          0              NaN                        
10          66         0          0          0          0          0              NaN                        
20          66         0          0          0          0          0              NaN                        
50          66         0          0          0          0          0              NaN                        
75          66         0          0          0          0          0              NaN                        
100         66         0          0          0          0          0              NaN                        
1           67         0          0          0          0          0              NaN                        
5           67         0          0          0          0          0              NaN                        
10          67         0          0          0          0          0              NaN                        
20          67         0          0          0          0          0              NaN                        
50          67         0          0          0          0          0              NaN                        
75          67         0          0          0          0          0              NaN                        
100         67         0          0          0          0          0              NaN                        
1           68         0          0          0          0          0              NaN                        
5           68         0          0          0          0          0              NaN                        
10          68         0          0          0          0          0              NaN                        
20          68         0          0          0          0          0              NaN                        
50          68         0          0          0          0          0              NaN                        
75          68         0          0          0          0          0              NaN                        
100         68         0          0          0          0          0              NaN                        
1           69         0          0          0          0          0              NaN                        
5           69         0          0          0          0          0              NaN                        
10          69         0          0          0          0          0              NaN                        
