Loc P     Succ Pull
1125 1,00  4    4   
1126 1,00  4    4   
1127 1,00  5    5   
1128 1,00  4    4   
1129 NaN   0    0   
1130 1,00  4    4   
1131 1,00  5    5   
1132 1,00  5    5   
1133 1,00  5    5   
1134 1,00  5    5   
1135 1,00  4    4   
1136 1,00  4    4   
1137 1,00  4    4   
1138 1,00  5    5   
1139 1,00  5    5   
1140 1,00  5    5   
1141 1,00  5    5   
1142 1,00  5    5   
1143 1,00  5    5   
1144 1,00  5    5   
1145 1,00  4    4   
1146 1,00  4    4   
1147 1,00  5    5   
1148 NaN   0    0   
1149 0,67  2    3   
1150 1,00  4    4   
1151 1,00  5    5   
1152 1,00  4    4   
1153 1,00  4    4   
1154 NaN   0    0   
1155 0,75  3    4   
1156 0,75  3    4   
1157 1,00  5    5   
1158 1,00  4    4   
1159 1,00  4    4   
1160 1,00  5    5   
1161 NaN   0    0   
1162 1,00  5    5   
1163 NaN   0    0   
1164 1,00  4    4   
1165 1,00  5    5   
1166 1,00  5    5   
1167 1,00  5    5   
1168 1,00  5    5   
1169 1,00  4    4   
1170 1,00  5    5   
1171 1,00  4    4   
1172 1,00  4    4   
1173 1,00  5    5   
1174 1,00  4    4   
1175 1,00  5    5   
1176 1,00  4    4   
1177 1,00  4    4   
1178 1,00  4    4   
1179 1,00  5    5   
1180 1,00  4    4   
1181 1,00  5    5   
1182 1,00  5    5   
1183 NaN   0    0   
1184 1,00  4    4   
1185 1,00  4    4   
1186 NaN   0    0   
1187 1,00  5    5   
1188 0,67  2    3   
1189 1,00  5    5   
1190 1,00  5    5   
1191 1,00  4    4   
1192 0,67  2    3   
1193 1,00  5    5   
1194 1,00  4    4   
1195 1,00  4    4   
1196 1,00  5    5   
1197 1,00  4    4   
1198 1,00  4    4   
1199 1,00  5    5   
1200 1,00  5    5   
1201 1,00  4    4   
1202 0,00  0    2   
1203 1,00  5    5   
1204 1,00  5    5   
1205 0,33  1    3   
1206 0,67  2    3   
1207 1,00  5    5   
1208 1,00  5    5   
1209 1,00  4    4   
1210 1,00  4    4   
1211 1,00  5    5   
1212 NaN   0    0   
1213 NaN   0    0   
1214 NaN   0    0   
1215 0,67  2    3   
1216 0,75  3    4   
1217 1,00  5    5   
1218 0,80  4    5   
1219 0,00  0    2   
1220 1,00  5    5   
1221 0,67  2    3   
1222 0,67  2    3   
1223 0,33  1    3   
1224 NaN   0    0   
1225 0,00  0    2   
1226 NaN   0    0   
1227 NaN   0    0   
